time,lag1,lag2,lag3,lag4,lag5,lag1_scaled,lag2_scaled,lag3_scaled,lag4_scaled,lag5_scaled,direction,pred
2020-01-03 09:39:59.999,-0.0008938947587264282,8.93535272898509e-05,0.0028635366323260364,-0.003310224449642965,0.0007147963134937183,-0.6773861793897744,0.0665390789788942,2.165377145883383,-2.5053742868603255,0.5396982714969166,-1.0,1.0
2020-01-03 09:59:59.999,-0.0006262021048212181,-0.0008938947587264282,8.93535272898509e-05,0.0028635366323260364,-0.003310224449642965,-0.47485000010510103,-0.6773862663179354,0.0665038144815927,2.165312808288196,-2.5053778702992346,-1.0,1.0
2020-01-03 11:04:59.999,-0.0021499605164076686,-0.0006262021048212181,-0.0008938947587264282,8.93535272898509e-05,0.0028635366323260364,-1.6277251437946376,-0.47485008820090485,-0.6773957507344422,0.06653686664792191,2.165299296892063,-1.0,1.0
2020-01-03 11:09:59.999,-0.0013460763911609594,-0.0021499605164076686,-0.0006262021048212181,-0.0008938947587264282,8.93535272898509e-05,-1.019506662861936,-1.6277252252439924,-0.47486659133114245,-0.6773281809056296,0.0665278163850971,1.0,1.0
2020-01-03 11:34:59.999,0.0013460763911610294,-0.0013460763911609594,-0.0021499605164076686,-0.0006262021048212181,-0.0008938947587264282,1.017375300941129,-1.0195067478177355,-1.6277017764968449,-0.47480841905207205,-0.6773356500177111,-1.0,1.0
2020-01-03 12:04:59.999,-0.0008971829060452027,0.0013460763911610294,-0.0013460763911609594,-0.0021499605164076686,-0.0006262021048212181,-0.6798739906358221,1.0173752042424864,-1.019504376348823,-1.6275901115452667,-0.474816318637763,-1.0,1.0
2020-01-03 12:29:59.999,-0.0013472854240781042,-0.0008971829060452027,0.0013460763911610294,-0.0013460763911609594,-0.0021499605164076686,-1.020421416793714,-0.6798740775496407,1.0173069893526667,-1.0194209323474421,-1.6275955607918329,1.0,1.0
2020-01-03 12:49:59.999,0.0002696023381865625,-0.0013472854240781042,-0.0008971829060452027,0.0013460763911610294,-0.0013460763911609594,0.20291536486182898,-1.0204215017442402,-0.6798834757532297,1.017295923328029,-1.0194276743112192,1.0,1.0
2020-01-03 13:04:59.999,0.00035935675528213633,0.0002696023381865625,-0.0013472854240781042,-0.0008971829060452027,0.0013460763911610294,0.27082352912134394,0.20291527285863523,-1.0204190985753319,-0.6798157904915596,1.0172848521430033,1.0,1.0
2020-01-03 13:14:59.999,0.0015258271595576763,0.00035935675528213633,0.0002696023381865625,-0.0013472854240781042,-0.0008971829060452027,1.1533746768053337,0.2708234367266523,0.20287528236386784,-1.0203356121299512,-0.6798232543160077,1.0,-1.0
2020-01-03 13:24:59.999,8.96820770970884e-05,0.0015258271595576763,0.00035935675528213633,0.0002696023381865625,-0.0013472854240781042,0.06678775087856859,1.15337457932264,0.2707810929339872,0.20290200676160994,-1.0203423521494956,-1.0,-1.0
2020-01-03 13:34:59.999,-0.0008074283846009328,8.96820770970884e-05,0.0015258271595576763,0.00035935675528213633,0.0002696023381865625,-0.611965747426116,0.06678765966016509,1.1533016514936796,0.27080466643615214,0.20289266664265687,1.0,1.0
