time,returns,strategy,creturns,cstrategy
2019-01-01 23:45:00+00:00,0.034942704387987196,-0.034942704387987196,1.0241104335589357,0.7470674663067981
2019-01-02 00:05:00+00:00,0.01082077934095438,0.01082077934095438,1.024025553396323,0.9736987113457294
2019-01-02 00:10:00+00:00,0.04052669098014557,-0.04052669098014557,1.0241461725747718,4.692750352034587
2019-01-02 00:35:00+00:00,0.014951774129088966,-0.014951774129088966,1.023485000781792,1.9305845626237692
2019-01-02 00:40:00+00:00,0.0032480547893994115,-0.0032480547893994115,1.0235832830753413,3.716113671121048
2019-01-02 01:35:00+00:00,0.004340432718525465,-0.004340432718525465,1.0232303602939519,3.3402590330228508
2019-01-02 01:55:00+00:00,0.045262170298694254,0.045262170298694254,1.0232348276709329,2.598775149519177
2019-01-02 02:00:00+00:00,0.013643687917380883,-0.013643687917380883,1.0232973709486464,0.7911236569652715
2019-01-02 02:50:00+00:00,0.03712823581800111,-0.03712823581800111,1.0226049275168057,8.402582456530029
2019-01-02 03:25:00+00:00,0.033035023715678895,-0.033035023715678895,1.0228327637427685,3.153441203810468
2019-01-02 03:50:00+00:00,-0.005362854156926228,-0.005362854156926228,1.0227032098103612,6.1141863664165355
2019-01-02 04:35:00+00:00,0.031366751368157794,0.0,1.022667470794523,2.9306920072603493
2019-01-02 05:00:00+00:00,0.019804548963935856,0.0,1.022886372266525,7.8070687342361795
2019-01-02 05:25:00+00:00,0.04095218916871145,0.04095218916871145,1.0237396412696287,1.263804893602213
2019-01-02 05:30:00+00:00,0.042212200713092986,0.042212200713092986,1.0240657597891387,2.989617148389723
2019-01-02 06:05:00+00:00,0.034857536360829965,0.034857536360829965,1.0263083830329016,5.848703916150117
2019-01-02 07:05:00+00:00,0.03886098830497199,-0.03886098830497199,1.0266076972905371,6.7672828942688135
2019-01-02 07:45:00+00:00,0.03927055016361458,-0.03927055016361458,1.0255042551765747,4.5077176039595415
2019-01-02 07:55:00+00:00,0.039477787603893144,-0.039477787603893144,1.02541937501396,0.8917669755878812
2019-01-02 08:20:00+00:00,0.016235037529366652,0.016235037529366652,1.023082936853626,3.262370537387289
2019-01-02 09:35:00+00:00,0.02433416886195244,0.02433416886195244,1.021492550648885,7.617080009167463
2019-01-02 09:40:00+00:00,0.03154420676784318,0.03154420676784318,1.0210324108199866,2.582474074612889
2019-01-02 09:50:00+00:00,0.02917977733346117,0.02917977733346117,1.021224508030111,2.712698596292393
2019-01-02 10:20:00+00:00,0.016802079407856323,0.016802079407856323,1.0218142017914174,4.657407896059393
2019-01-02 10:50:00+00:00,0.04278904286640148,0.04278904286640148,1.021961625231744,2.437440629943984
2019-01-02 11:15:00+00:00,0.02336479398759159,0.02336479398759159,1.0211887690142716,8.67044643745703
2019-01-02 11:25:00+00:00,0.04781717821932473,0.04781717821932473,1.021550626549621,3.5543731516377264
2019-01-02 11:35:00+00:00,0.04046010865568902,-0.04046010865568902,1.0218544081842318,8.964313751533842
2019-01-02 12:00:00+00:00,0.03533744646272363,0.03533744646272363,1.0211038888516613,5.361764555070572
2019-01-02 12:40:00+00:00,0.030569784247022173,0.030569784247022173,1.019236525274181,7.894902767021307
2019-01-02 13:05:00+00:00,0.02942920367128923,-0.02942920367128923,1.018548549219326,7.152622663674829
2019-01-02 13:30:00+00:00,0.028936392003071628,0.028936392003071628,1.0173155531729563,5.146898660869935
2019-01-02 14:25:00+00:00,0.007234685503799709,0.007234685503799709,1.0157385690991532,0.9533859307822469
2019-01-02 15:35:00+00:00,0.005710134181326424,0.005710134181326424,1.0136969778194735,3.247475903321088
2019-01-02 16:00:00+00:00,-0.0013242383716106556,-0.0013242383716106556,1.014764680917599,5.925414145414008
2019-01-02 16:10:00+00:00,0.02231300551484728,0.02231300551484728,1.014912104357926,2.578242967879973
2019-01-02 16:20:00+00:00,0.02089363347540401,0.02089363347540401,1.0148182894413538,2.3042746453238676
2019-01-02 16:40:00+00:00,0.0042244910786738065,0.0042244910786738065,1.014161585025352,3.976899672784975
2019-01-02 17:15:00+00:00,0.0037618097495038705,0.0037618097495038705,1.0137059125734318,4.19922270541882
2019-01-02 17:50:00+00:00,0.003920680952133815,0.003920680952133815,1.012665013737185,3.5808250042437053
2019-01-02 18:15:00+00:00,0.00874292967281737,-0.00874292967281737,1.0125577966896726,3.973742052778615
2019-01-02 18:30:00+00:00,-0.0007897030200734823,-0.0007897030200734823,1.0122093412852615,9.205334476166312
2019-01-02 18:35:00+00:00,0.009410435926506071,-0.009410435926506071,1.0121155263686923,1.0862898995596717
2019-01-02 20:40:00+00:00,0.028020047194929957,0.028020047194929957,1.0137282494583295,1.7190863091077873
2019-01-02 21:00:00+00:00,0.016934599634674873,-0.016934599634674873,1.0133529897920448,3.473550529268992
2019-01-02 21:20:00+00:00,-0.002496132732557629,-0.002496132732557629,1.0135048806093507,0.9843475199269818
2019-01-02 21:25:00+00:00,0.0020785211595135845,-0.0020785211595135845,1.0133753266769423,4.548967533065934
2019-01-02 21:40:00+00:00,0.030204261360457497,-0.030204261360457497,1.0136657061806162,0.9065740185765058
2019-01-02 21:55:00+00:00,0.0020294363369574497,-0.0020294363369574497,1.0136210324108208,1.3914104034651602
2019-01-02 22:00:00+00:00,-0.012748398479234887,-0.0,1.013603162902903,6.7672828942688135
2019-01-02 22:35:00+00:00,-0.0039808636324876676,0.0039808636324876676,1.0113426701512214,3.6397796496864263
2019-01-02 23:00:00+00:00,0.012775348850892196,0.012775348850892196,1.0138980097835564,1.351207798828125
